country,short_name,names,id,latitude,longitude,gtng_region,glims_id,rgi50_ids,rgi60_ids,rgi70_ids,wgi_id,parent_glacier_id,references,remarks
PK,UNNAMED 16390,,16390,36.156399,75.771599,14_south_asia_west,G075772E36156N,RGI50-14.04209,RGI60-14.04209,,,,,Information derived from RGI5.0.
PK,UNNAMED 16391,,16391,36.205399,75.991096,14_south_asia_west,G075991E36205N,RGI50-14.04228,RGI60-14.04228,,,,,Information derived from RGI5.0.
PK,UNNAMED 16392,,16392,36.234699,75.541901,14_south_asia_west,,RGI50-14.04244,RGI60-14.04244,,,,,Information derived from RGI5.0. | GLIMS_ID: G075542E36235N (invalid)
PK,UNNAMED 16393,,16393,36.2234,75.723297,14_south_asia_west,G075723E36223N,RGI50-14.04248,RGI60-14.04248,,,,,Information derived from RGI5.0.
PK,UNNAMED 16394,,16394,36.2257,75.042297,14_south_asia_west,,RGI50-14.04254,RGI60-14.04254,,,,,Information derived from RGI5.0. | GLIMS_ID: G075042E36226N (invalid)
PK,UNNAMED 16395,,16395,36.1488,75.948196,14_south_asia_west,G075948E36149N,RGI50-14.04267,RGI60-14.04267,,,,,Information derived from RGI5.0.
PK,UNNAMED 16396,,16396,36.2351,74.219597,14_south_asia_west,,RGI50-14.04277,RGI60-14.04277,,,,,Information derived from RGI5.0. | GLIMS_ID: G074220E36235N (invalid)
PK,UNNAMED 16399,,16399,36.206001,75.569397,14_south_asia_west,,RGI50-14.04302,RGI60-14.04302,,,,,Information derived from RGI5.0. | GLIMS_ID: G075569E36206N (invalid)
PK,UNNAMED 16400,,16400,36.167999,75.9562,14_south_asia_west,G075956E36168N,RGI50-14.04303,RGI60-14.04303,,,,,Information derived from RGI5.0.
PK,UNNAMED 16401,,16401,36.203201,74.182098,14_south_asia_west,,RGI50-14.04327,RGI60-14.04327,,,,,Information derived from RGI5.0. | GLIMS_ID: G074182E36203N (invalid)
PK,UNNAMED 16402,,16402,36.220299,75.064301,14_south_asia_west,,RGI50-14.04328,RGI60-14.04328,,,,,Information derived from RGI5.0. | GLIMS_ID: G075064E36220N (invalid)
PK,UNNAMED 16403,,16403,36.200401,74.700401,14_south_asia_west,,RGI50-14.04346,RGI60-14.04346,,,,,Information derived from RGI5.0. | GLIMS_ID: G074700E36200N (invalid)
PK,UNNAMED 16404,,16404,36.205002,75.072304,14_south_asia_west,,RGI50-14.04357,RGI60-14.04357,,,,,Information derived from RGI5.0. | GLIMS_ID: G075072E36205N (invalid)
PK,UNNAMED 16409,,16409,36.1768,74.485802,14_south_asia_west,,RGI50-14.04449,RGI60-14.04449,,,,,Information derived from RGI5.0. | GLIMS_ID: G074486E36177N (invalid)
PK,UNNAMED 16410,,16410,36.1376,74.800102,14_south_asia_west,,RGI50-14.04471,RGI60-14.04471,,,,,Information derived from RGI5.0. | GLIMS_ID: G074800E36138N (invalid)
PK,UNNAMED 16413,,16413,36.130699,75.274498,14_south_asia_west,,RGI50-14.04505,RGI60-14.04505,,,,,Information derived from RGI5.0. | GLIMS_ID: G075275E36131N (invalid)
PK,UNNAMED 16414,,16414,36.105202,74.444901,14_south_asia_west,,RGI50-14.04515,RGI60-14.04515,,,,,Information derived from RGI5.0. | GLIMS_ID: G074445E36105N (invalid)
PK,UNNAMED 16416,,16416,36.112499,74.961098,14_south_asia_west,,RGI50-14.04533,RGI60-14.04533,,,,,Information derived from RGI5.0. | GLIMS_ID: G074961E36113N (invalid)
PK,UNNAMED 16417,,16417,36.0849,74.528397,14_south_asia_west,,RGI50-14.04557,RGI60-14.04557,,,,,Information derived from RGI5.0. | GLIMS_ID: G074528E36085N (invalid)
PK,UNNAMED 16418,,16418,36.0863,74.685997,14_south_asia_west,G074686E36086N,RGI50-14.04563,RGI60-14.04563,,,,,Information derived from RGI5.0.
PK,UNNAMED 16419,,16419,36.078701,74.410202,14_south_asia_west,,RGI50-14.04570,RGI60-14.04570,,,,,Information derived from RGI5.0. | GLIMS_ID: G074410E36079N (invalid)
PK,UNNAMED 16425,,16425,36.021702,75.9814,14_south_asia_west,,RGI50-14.04619,RGI60-14.04619,,,,,Information derived from RGI5.0. | GLIMS_ID: G075981E36022N (invalid)
PK,UNNAMED 16426,,16426,36.022202,74.795898,14_south_asia_west,,RGI50-14.04621,RGI60-14.04621,,,,,Information derived from RGI5.0. | GLIMS_ID: G074796E36022N (invalid)
PK,UNNAMED 16427,,16427,36.000401,74.789597,14_south_asia_west,,RGI50-14.04622,RGI60-14.04622,,,,,Information derived from RGI5.0. | GLIMS_ID: G074790E36000N (invalid)
PK,UNNAMED 16428,,16428,36.021599,75.1222,14_south_asia_west,,RGI50-14.04625,RGI60-14.04625,,,,,Information derived from RGI5.0. | GLIMS_ID: G075122E36022N (invalid)
PK,UNNAMED 16429,,16429,35.9701,74.6408,14_south_asia_west,,RGI50-14.04628,RGI60-14.04628,,,,,Information derived from RGI5.0. | GLIMS_ID: G074641E35970N (invalid)
PK,UNNAMED 16430,,16430,36.020599,74.747902,14_south_asia_west,G074748E36021N,RGI50-14.04636,RGI60-14.04636,,,,,Information derived from RGI5.0.
PK,UNNAMED 16431,,16431,35.947601,75.2089,14_south_asia_west,,RGI50-14.04643,RGI60-14.04643,,,,,Information derived from RGI5.0. | GLIMS_ID: G075209E35948N (invalid)
PK,UNNAMED 16433,,16433,35.968399,74.670898,14_south_asia_west,G074671E35968N,RGI50-14.04680,RGI60-14.04680,,,,,Information derived from RGI5.0.
PK,UNNAMED 16435,,16435,36.018101,75.1558,14_south_asia_west,,RGI50-14.04691,RGI60-14.04691,,,,,Information derived from RGI5.0. | GLIMS_ID: G075156E36018N (invalid)
PK,UNNAMED 16436,,16436,35.956902,75.920998,14_south_asia_west,,RGI50-14.04695,RGI60-14.04695,,,,,Information derived from RGI5.0. | GLIMS_ID: G075921E35957N (invalid)
PK,UNNAMED 16437,,16437,35.966499,75.400597,14_south_asia_west,,RGI50-14.04697,RGI60-14.04697,,,,,Information derived from RGI5.0. | GLIMS_ID: G075401E35967N (invalid)
PK,UNNAMED 16438,,16438,35.941898,74.871597,14_south_asia_west,,RGI50-14.04701,RGI60-14.04701,,,,,Information derived from RGI5.0. | GLIMS_ID: G074872E35942N (invalid)
PK,UNNAMED 16440,,16440,35.948299,75.383301,14_south_asia_west,,RGI50-14.04731,RGI60-14.04731,,,,,Information derived from RGI5.0. | GLIMS_ID: G075383E35948N (invalid)
PK,UNNAMED 16441,,16441,35.9478,75.268303,14_south_asia_west,,RGI50-14.04744,RGI60-14.04744,,,,,Information derived from RGI5.0. | GLIMS_ID: G075268E35948N (invalid)
PK,UNNAMED 16442,,16442,35.953899,74.6539,14_south_asia_west,,RGI50-14.04756,RGI60-14.04756,,,,,Information derived from RGI5.0. | GLIMS_ID: G074654E35954N (invalid)
PK,UNNAMED 16443,,16443,35.911701,75.255402,14_south_asia_west,,RGI50-14.04766,RGI60-14.04766,,,,,Information derived from RGI5.0. | GLIMS_ID: G075255E35912N (invalid)
PK,UNNAMED 16444,,16444,35.9342,75.963699,14_south_asia_west,,RGI50-14.04769,RGI60-14.04769,,,,,Information derived from RGI5.0. | GLIMS_ID: G075964E35934N (invalid)
PK,UNNAMED 16446,,16446,35.898602,75.488701,14_south_asia_west,,RGI50-14.04800,RGI60-14.04800,,,,,Information derived from RGI5.0. | GLIMS_ID: G075489E35899N (invalid)
PK,UNNAMED 16447,,16447,35.856998,74.935402,14_south_asia_west,,RGI50-14.04807,RGI60-14.04807,,,,,Information derived from RGI5.0. | GLIMS_ID: G074935E35857N (invalid)
PK,UNNAMED 16448,,16448,35.869999,75.484398,14_south_asia_west,,RGI50-14.04818,RGI60-14.04818,,,,,Information derived from RGI5.0. | GLIMS_ID: G075484E35870N (invalid)
PK,UNNAMED 16449,,16449,35.867001,75.824997,14_south_asia_west,,RGI50-14.04825,RGI60-14.04825,,,,,Information derived from RGI5.0. | GLIMS_ID: G075825E35867N (invalid)
PK,UNNAMED 16451,,16451,35.861801,74.8452,14_south_asia_west,,RGI50-14.04840,RGI60-14.04840,,,,,Information derived from RGI5.0. | GLIMS_ID: G074845E35862N (invalid)
PK,UNNAMED 16452,,16452,35.8549,75.632004,14_south_asia_west,,RGI50-14.04856,RGI60-14.04856,,,,,Information derived from RGI5.0. | GLIMS_ID: G075632E35855N (invalid)
PK,UNNAMED 16453,,16453,35.835899,75.470497,14_south_asia_west,,RGI50-14.04863,RGI60-14.04863,,,,,Information derived from RGI5.0. | GLIMS_ID: G075471E35836N (invalid)
PK,UNNAMED 16454,,16454,35.817001,74.862602,14_south_asia_west,,RGI50-14.04868,RGI60-14.04868,,,,,Information derived from RGI5.0. | GLIMS_ID: G074863E35817N (invalid)
PK,UNNAMED 16455,,16455,35.797401,75.124001,14_south_asia_west,,RGI50-14.04869,RGI60-14.04869,,,,,Information derived from RGI5.0. | GLIMS_ID: G075124E35797N (invalid)
PK,UNNAMED 16456,,16456,35.835899,75.021004,14_south_asia_west,G075021E35836N,RGI50-14.04872,RGI60-14.04872,,,,,Information derived from RGI5.0.
PK,UNNAMED 16457,,16457,35.826698,75.467903,14_south_asia_west,,RGI50-14.04878,RGI60-14.04878,,,,,Information derived from RGI5.0. | GLIMS_ID: G075468E35827N (invalid)
PK,UNNAMED 16458,,16458,35.8228,75.869202,14_south_asia_west,,RGI50-14.04881,RGI60-14.04881,,,,,Information derived from RGI5.0. | GLIMS_ID: G075869E35823N (invalid)
PK,UNNAMED 16459,,16459,35.8125,75.079597,14_south_asia_west,,RGI50-14.04884,RGI60-14.04884,,,,,Information derived from RGI5.0. | GLIMS_ID: G075080E35813N (invalid)
PK,UNNAMED 16460,,16460,35.810398,75.311302,14_south_asia_west,,RGI50-14.04900,RGI60-14.04900,,,,,Information derived from RGI5.0. | GLIMS_ID: G075311E35810N (invalid)
PK,UNNAMED 16461,,16461,35.807598,75.286797,14_south_asia_west,,RGI50-14.04908,RGI60-14.04908,,,,,Information derived from RGI5.0. | GLIMS_ID: G075287E35808N (invalid)
PK,UNNAMED 16462,,16462,35.802601,75.680397,14_south_asia_west,,RGI50-14.04928,RGI60-14.04928,,,,,Information derived from RGI5.0. | GLIMS_ID: G075680E35803N (invalid)
PK,UNNAMED 16463,,16463,35.782101,75.194099,14_south_asia_west,,RGI50-14.04933,RGI60-14.04933,,,,,Information derived from RGI5.0. | GLIMS_ID: G075194E35782N (invalid)
PK,UNNAMED 16464,,16464,35.7845,75.916199,14_south_asia_west,,RGI50-14.04942,RGI60-14.04942,,,,,Information derived from RGI5.0. | GLIMS_ID: G075916E35785N (invalid)
PK,UNNAMED 16465,,16465,35.7794,75.536499,14_south_asia_west,,RGI50-14.04944,RGI60-14.04944,,,,,Information derived from RGI5.0. | GLIMS_ID: G075537E35779N (invalid)
PK,UNNAMED 16466,,16466,35.804501,74.938004,14_south_asia_west,,RGI50-14.04945,RGI60-14.04945,,,,,Information derived from RGI5.0. | GLIMS_ID: G074938E35805N (invalid)
PK,UNNAMED 16467,,16467,35.7906,75.3311,14_south_asia_west,,RGI50-14.04952,RGI60-14.04952,,,,,Information derived from RGI5.0. | GLIMS_ID: G075331E35791N (invalid)
